,genero,monto,fecha,hora,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,dcto,cashback,fraude,device_score,dia
86,F,962.2321431,2020-01-29,11,FÃ­sica,28000,42,Aceptada,False,0.0,9.622321431,False,1,Wednesday
87,F,60.7585501,2020-01-19,11,Virtual,28000,42,En proceso,False,6.07585501,1.093653902,False,1,Sunday
88,F,878.6056021,2020-01-30,7,FÃ­sica,28000,42,Aceptada,False,0.0,8.786056021,False,3,Thursday
89,F,105.0649153,2020-08-01,11,Virtual,28000,42,Aceptada,False,10.50649153,1.891168476,False,1,Saturday
90,F,567.3371532,2020-01-25,23,FÃ­sica,28000,42,En proceso,False,0.0,5.673371532,False,2,Saturday
91,F,566.7673933,2020-01-15,1,FÃ­sica,28000,42,Aceptada,False,0.0,5.667673933,False,4,Wednesday
92,F,407.0349166,2020-01-25,8,Virtual,28000,42,Aceptada,False,0.0,8.140698332,False,4,Saturday
93,F,428.5217574,2020-01-24,22,Virtual,28000,42,En proceso,False,0.0,8.570435149,False,2,Friday
94,F,588.0450688,2020-01-22,5,FÃ­sica,28000,42,Aceptada,False,0.0,5.880450688,False,1,Wednesday
95,F,619.0278896,2020-07-01,4,Virtual,28000,42,Aceptada,False,0.0,12.38055779,False,1,Wednesday
96,F,490.1165458,2020-01-28,12,FÃ­sica,28000,42,En proceso,False,0.0,4.901165458,False,5,Tuesday
97,F,837.7639764,2020-01-21,7,Virtual,28000,42,En proceso,False,0.0,16.75527953,False,3,Tuesday
98,F,186.3823064,2020-01-28,1,FÃ­sica,28000,42,Aceptada,False,0.0,1.863823064,False,3,Tuesday
99,F,997.1287346,2020-11-01,17,FÃ­sica,28000,42,En proceso,False,99.71287346,8.974158612,False,4,Sunday
100,F,705.4628872,2020-01-22,9,FÃ­sica,28000,42,Aceptada,False,70.54628872,6.349165985,True,4,Wednesday
101,F,635.4846958,2020-01-21,21,FÃ­sica,27000,46,Aceptada,True,0.0,6.354846958,False,1,Tuesday
102,F,684.8545824,2020-03-01,4,FÃ­sica,27000,46,En proceso,True,0.0,6.848545824,False,2,Sunday
103,F,345.2404467,2020-01-19,12,FÃ­sica,27000,46,Aceptada,True,0.0,3.452404467,False,2,Sunday
104,F,289.7266305,2020-01-25,1,Virtual,27000,46,En proceso,True,0.0,5.794532611,False,2,Saturday
105,M,34.65845211,2020-06-01,23,FÃ­sica,99000,45,Aceptada,False,3.465845211,0.311926069,False,4,Monday
106,M,737.3401792,2020-01-24,20,Virtual,99000,45,Aceptada,False,0.0,14.74680358,False,1,Friday
107,M,313.8716797,2020-01-25,6,FÃ­sica,99000,45,Aceptada,False,0.0,3.138716797,False,2,Saturday
108,M,866.2378496,2020-01-20,14,Virtual,99000,45,Aceptada,False,86.62378496,15.59228129,False,2,Monday
109,M,283.2662307,2020-01-28,4,Virtual,99000,45,En proceso,False,0.0,5.665324613,False,1,Tuesday
110,M,972.9337878,2020-09-01,23,FÃ­sica,99000,45,Aceptada,False,0.0,9.729337878,False,5,Tuesday
111,M,631.8958296,2020-06-01,3,FÃ­sica,73000,40,Rechazada,False,63.18958296,5.687062466,False,5,Monday
112,M,976.3313818,2020-09-01,21,Virtual,73000,40,En proceso,False,0.0,19.52662764,False,4,Tuesday
113,M,761.3511412,2020-01-28,18,Virtual,73000,40,Aceptada,False,76.13511412,13.70432054,False,1,Tuesday
114,M,662.6060306,2020-09-01,16,FÃ­sica,73000,40,Aceptada,False,0.0,6.626060306,False,3,Tuesday
115,M,715.2173519,2020-06-01,10,Virtual,73000,40,Aceptada,False,71.52173519,12.87391233,False,2,Monday
116,M,66.32336839,2020-01-19,22,FÃ­sica,73000,40,Aceptada,False,0.0,0.663233684,False,1,Sunday
117,M,692.8823661,2020-01-15,9,FÃ­sica,63000,49,Rechazada,False,69.28823661,6.235941295,False,3,Wednesday
118,M,402.7669376,2020-07-01,4,FÃ­sica,63000,49,Rechazada,False,0.0,4.027669376,False,4,Wednesday
119,M,623.3566392,2020-01-22,10,FÃ­sica,63000,49,Aceptada,False,62.33566392,5.610209753,False,4,Wednesday
120,M,353.094712,2020-09-01,16,Virtual,81000,54,En proceso,False,0.0,7.061894241,False,2,Tuesday
121,M,79.87989242,2020-12-01,16,Virtual,81000,54,Aceptada,False,0.0,1.597597848,False,2,Tuesday
122,M,785.6938166,2020-05-01,14,Virtual,27000,62,Aceptada,False,78.56938166,14.1424887,False,5,Friday
123,M,752.7473575,2020-01-16,13,Virtual,27000,62,Aceptada,False,0.0,15.05494715,False,5,Thursday
124,M,959.3842695,2020-01-29,20,Virtual,50000,32,Aceptada,False,0.0,19.18768539,False,3,Wednesday
125,M,639.4574484,2020-08-01,13,Virtual,50000,32,Aceptada,False,63.94574484,11.51023407,False,4,Saturday
126,F,317.2962767,2020-01-22,13,FÃ­sica,73000,58,Aceptada,False,0.0,3.172962767,False,2,Wednesday
127,F,999.3514183,2020-03-01,7,FÃ­sica,73000,58,Rechazada,False,0.0,9.993514183,False,1,Sunday
128,F,864.24071,2020-03-01,18,Virtual,73000,58,Aceptada,False,0.0,17.2848142,False,1,Sunday
129,F,861.8657164,2020-02-01,4,FÃ­sica,73000,58,Aceptada,False,0.0,8.618657164,False,1,Saturday
130,F,332.1103325,2020-07-01,22,FÃ­sica,73000,58,En proceso,False,0.0,3.321103325,False,4,Wednesday
131,F,808.0745545,2020-07-01,10,FÃ­sica,73000,58,Rechazada,False,0.0,8.080745545,False,3,Wednesday
132,F,779.0121649,2020-09-01,9,FÃ­sica,73000,58,Aceptada,False,77.90121649,7.011109484,False,4,Tuesday
133,F,741.7699755,2020-05-01,16,FÃ­sica,73000,58,Rechazada,False,0.0,7.417699755,False,5,Friday
134,F,89.59791528,2020-11-01,19,FÃ­sica,73000,58,Aceptada,False,8.959791528,0.806381238,False,4,Sunday
135,F,174.1359555,2020-01-18,18,Virtual,73000,58,En proceso,False,17.41359555,3.134447198,False,3,Saturday
136,F,660.2890394,2020-01-22,17,Virtual,73000,58,Aceptada,False,66.02890394,11.88520271,False,3,Wednesday
137,F,881.9959251,2020-01-25,12,FÃ­sica,73000,58,Aceptada,False,176.399185,7.055967401,True,4,Saturday
138,F,949.8852539,2020-02-01,12,FÃ­sica,73000,58,Aceptada,False,0.0,9.498852539,False,4,Saturday
139,F,78.36063584,2020-07-01,5,FÃ­sica,73000,58,En proceso,False,0.0,0.783606358,False,1,Wednesday
140,F,58.58122951,2020-12-01,4,FÃ­sica,73000,58,Rechazada,False,0.0,0.585812295,False,3,Tuesday
141,F,351.0335439,2020-08-01,7,Virtual,73000,58,Aceptada,False,0.0,7.020670877,False,1,Saturday
142,F,797.5858862,2020-06-01,2,FÃ­sica,73000,58,Aceptada,False,0.0,7.975858862,True,5,Monday
143,F,39.55001804,2020-01-14,10,Virtual,73000,58,En proceso,False,0.0,0.791000361,True,3,Tuesday
144,F,132.3642777,2020-01-24,8,Virtual,46000,38,Aceptada,True,13.23642777,2.382556998,False,2,Friday
145,F,648.4516695,2020-05-01,13,Virtual,46000,38,Rechazada,True,0.0,12.96903339,False,5,Friday
146,F,174.838368,2020-01-30,10,Virtual,46000,38,Aceptada,True,17.4838368,3.147090623,False,4,Thursday
147,F,14.50330966,2020-01-30,6,FÃ­sica,46000,38,Aceptada,True,1.450330966,0.130529787,False,3,Thursday
148,F,91.5122577,2020-01-14,4,FÃ­sica,46000,38,Aceptada,True,0.0,0.915122577,False,5,Tuesday
149,F,311.4640855,2020-04-01,16,FÃ­sica,46000,38,Rechazada,True,0.0,3.114640855,False,5,Wednesday
150,F,140.7517963,2020-01-30,5,FÃ­sica,46000,38,Aceptada,True,0.0,1.407517963,False,4,Thursday
151,F,557.697458,2020-01-30,6,Virtual,46000,38,Aceptada,True,0.0,11.15394916,False,2,Thursday
152,F,979.2473925,2020-11-01,1,FÃ­sica,46000,38,Aceptada,True,97.92473925,8.813226532,False,3,Sunday
153,F,501.7734474,2020-09-01,15,Virtual,46000,38,Rechazada,True,50.17734474,9.031922052,False,4,Tuesday
154,F,421.0491592,2020-01-19,18,FÃ­sica,46000,38,Aceptada,True,0.0,4.210491592,False,3,Sunday
155,F,350.0045899,2020-01-27,6,Virtual,46000,38,Rechazada,True,35.00045899,6.300082619,False,3,Monday
156,F,542.380919,2020-01-27,4,FÃ­sica,46000,38,Rechazada,True,0.0,5.42380919,False,1,Monday
157,F,651.1433538,2020-01-24,18,Virtual,46000,38,Aceptada,True,0.0,13.02286708,False,5,Friday
158,F,427.1474088,2020-11-01,21,FÃ­sica,46000,38,Aceptada,True,0.0,4.271474088,False,3,Sunday
159,F,15.93006372,2020-01-29,18,FÃ­sica,46000,38,En proceso,True,0.0,0.159300637,False,5,Wednesday
160,F,747.5624254,2020-01-20,14,Virtual,46000,38,Aceptada,True,74.75624254,13.45612366,False,5,Monday
161,F,100.3383057,2020-01-16,19,FÃ­sica,46000,38,Aceptada,True,0.0,1.003383057,False,4,Thursday
162,F,542.7425377,2020-01-17,4,FÃ­sica,46000,38,Aceptada,True,0.0,5.427425377,False,2,Friday
163,F,170.6299717,2020-12-01,8,Virtual,46000,38,En proceso,True,17.06299717,3.07133949,False,5,Tuesday
164,F,257.4966083,2020-01-19,19,FÃ­sica,62000,34,Aceptada,False,0.0,2.574966083,False,4,Sunday
165,F,410.1874443,2020-01-18,10,FÃ­sica,62000,34,Aceptada,False,0.0,4.101874443,False,5,Saturday
166,F,847.8709604,2020-01-21,16,Virtual,62000,34,Aceptada,False,0.0,16.95741921,False,2,Tuesday
167,F,501.2713835,2020-11-01,19,FÃ­sica,62000,34,Aceptada,False,0.0,5.012713835,True,4,Sunday
168,F,227.9630598,2020-02-01,21,Virtual,62000,34,Rechazada,False,0.0,4.559261195,False,5,Saturday
169,F,339.634062,2020-07-01,13,Virtual,62000,34,Aceptada,False,0.0,6.79268124,False,3,Wednesday
170,F,151.0812836,2020-10-01,11,FÃ­sica,85000,64,En proceso,False,30.21625672,1.208650269,False,5,Thursday
171,F,296.8802652,2020-07-01,3,FÃ­sica,85000,64,Aceptada,False,29.68802652,2.671922386,False,3,Wednesday
172,F,832.9647198,2020-06-01,22,Virtual,85000,64,Aceptada,False,0.0,16.6592944,False,1,Monday
173,F,896.8555822,2020-01-18,13,Virtual,85000,64,Rechazada,False,89.68555822,16.14340048,False,5,Saturday
174,M,486.8384477,2020-01-15,2,FÃ­sica,52000,38,Aceptada,False,0.0,4.868384477,False,2,Wednesday
175,F,82.66858928,2020-08-01,10,FÃ­sica,38000,44,En proceso,False,16.53371786,0.661348714,False,5,Saturday
176,--,427.172143,2020-01-29,2,FÃ­sica,81000,50,Rechazada,False,0.0,4.27172143,False,5,Wednesday
177,--,318.8835052,2020-01-19,15,FÃ­sica,81000,50,En proceso,False,0.0,3.188835052,False,4,Sunday
178,--,143.2235861,2020-01-22,5,FÃ­sica,81000,50,En proceso,False,28.64471721,1.145788689,False,2,Wednesday
179,--,574.0189561,2020-01-21,17,FÃ­sica,81000,50,Rechazada,False,0.0,5.740189561,False,5,Tuesday
180,F,186.1349966,2020-01-25,14,Virtual,27000,50,Aceptada,False,0.0,3.722699931,False,5,Saturday
181,F,903.9216651,2020-01-19,2,Virtual,27000,50,Aceptada,False,90.39216651,16.27058997,False,1,Sunday
182,F,290.9604987,2020-05-01,7,Virtual,27000,50,Rechazada,False,29.09604987,5.237288976,False,3,Friday
183,F,36.79599962,2020-01-29,14,Virtual,27000,50,Aceptada,False,3.679599962,0.662327993,False,1,Wednesday
184,F,79.23058844,2020-11-01,8,FÃ­sica,27000,50,Aceptada,False,0.0,0.792305884,False,4,Sunday
185,F,972.3933097,2020-10-01,10,FÃ­sica,27000,50,Aceptada,False,0.0,9.723933097,False,1,Thursday
186,F,701.6852871,2020-01-25,23,FÃ­sica,27000,50,Aceptada,False,0.0,7.016852871,False,5,Saturday
187,F,79.16561004,2020-11-01,22,FÃ­sica,27000,50,Aceptada,False,0.0,0.7916561,False,1,Sunday
188,F,782.6289615,2020-03-01,14,FÃ­sica,27000,50,En proceso,False,0.0,7.826289615,False,2,Sunday
189,F,952.2951752,2020-01-20,17,Virtual,27000,50,Aceptada,False,0.0,19.0459035,False,1,Monday
190,F,973.5972005,2020-01-27,7,FÃ­sica,27000,50,Aceptada,False,0.0,9.735972005,False,1,Monday
191,F,545.7677863,2020-06-01,11,FÃ­sica,27000,50,Aceptada,False,0.0,5.457677863,False,2,Monday
192,F,10.02791298,2020-09-01,2,FÃ­sica,27000,50,Aceptada,False,0.0,0.10027913,False,4,Tuesday
193,F,487.0691478,2020-01-20,13,FÃ­sica,27000,50,Aceptada,False,0.0,4.870691478,False,2,Monday
194,F,278.8115728,2020-01-13,11,FÃ­sica,27000,50,Aceptada,False,0.0,2.788115728,False,1,Monday
195,F,367.7801121,2020-01-26,19,Virtual,27000,50,En proceso,False,36.77801121,6.620042019,False,3,Sunday
196,F,405.1222201,2020-01-27,6,FÃ­sica,27000,50,Aceptada,False,0.0,4.051222201,False,5,Monday
197,F,702.0662176,2020-11-01,14,FÃ­sica,27000,50,Aceptada,False,0.0,7.020662176,False,3,Sunday
198,F,582.5129665,2020-08-01,21,FÃ­sica,27000,50,Aceptada,False,58.25129665,5.242616699,False,3,Saturday
199,F,156.0624429,2020-01-19,6,Virtual,27000,50,Aceptada,False,15.60624429,2.809123973,False,3,Sunday
200,F,332.3329744,2020-01-23,16,FÃ­sica,27000,50,Aceptada,False,33.23329744,2.99099677,False,4,Thursday
201,F,600.0917242,2020-05-01,14,FÃ­sica,84000,51,Aceptada,False,60.00917242,5.400825518,False,2,Friday
202,F,328.9701085,2020-06-01,6,FÃ­sica,84000,51,Rechazada,False,32.89701085,2.960730976,False,3,Monday
203,F,259.0993397,2020-01-20,23,Virtual,84000,51,En proceso,False,25.90993397,4.663788114,False,5,Monday
204,F,995.5829282,2020-01-15,12,FÃ­sica,84000,51,Aceptada,False,99.55829282,8.960246354,False,1,Wednesday
205,M,908.939893,2020-01-19,10,FÃ­sica,94000,42,En proceso,False,0.0,9.08939893,False,2,Sunday
206,M,290.8366343,2020-11-01,17,FÃ­sica,94000,42,En proceso,False,0.0,2.908366343,False,5,Sunday
207,M,567.5750555,2020-01-27,9,FÃ­sica,94000,42,Aceptada,False,0.0,5.675750555,False,1,Monday
208,M,739.143872,2020-09-01,18,FÃ­sica,94000,42,En proceso,False,0.0,7.39143872,False,2,Tuesday
209,M,663.6593099,2020-10-01,23,FÃ­sica,94000,42,Rechazada,False,0.0,6.636593099,False,1,Thursday
210,M,334.5168148,2020-01-20,11,FÃ­sica,94000,42,Aceptada,False,0.0,3.345168148,False,2,Monday
211,M,703.7757208,2020-01-24,12,FÃ­sica,94000,42,Aceptada,False,70.37757208,6.333981487,False,1,Friday
212,M,612.3289174,2020-01-23,14,FÃ­sica,94000,42,En proceso,False,61.23289174,5.510960257,False,3,Thursday
213,M,923.7379274,2020-01-27,2,FÃ­sica,94000,42,Aceptada,False,0.0,9.237379274,False,4,Monday
214,M,278.014952,2020-06-01,22,FÃ­sica,94000,42,Aceptada,False,0.0,2.78014952,False,3,Monday
215,M,594.6533857,2020-02-01,2,FÃ­sica,94000,42,Rechazada,False,59.46533857,5.351880471,False,2,Saturday
216,M,116.7917703,2020-11-01,13,FÃ­sica,94000,42,Aceptada,False,0.0,1.167917703,False,4,Sunday
217,M,49.32154844,2020-01-28,4,FÃ­sica,94000,42,En proceso,False,0.0,0.493215484,False,1,Tuesday
218,M,580.4064248,2020-01-26,13,Virtual,94000,42,En proceso,False,58.04064248,10.44731565,False,2,Sunday
219,M,296.6848743,2020-09-01,4,FÃ­sica,94000,42,Aceptada,False,0.0,2.966848743,False,4,Tuesday
220,M,225.5320984,2020-01-16,1,FÃ­sica,94000,42,Rechazada,False,0.0,2.255320984,False,1,Thursday
221,M,434.9411103,2020-01-24,16,FÃ­sica,94000,42,Rechazada,False,43.49411103,3.914469993,False,4,Friday
222,M,112.4917378,2020-01-28,2,FÃ­sica,94000,42,Aceptada,False,0.0,1.124917378,False,2,Tuesday
223,M,493.4095087,2020-01-19,23,FÃ­sica,94000,42,Aceptada,False,49.34095087,4.440685578,False,2,Sunday
224,M,913.1224724,2020-12-01,6,FÃ­sica,37000,46,Aceptada,True,0.0,9.131224724,False,4,Tuesday
225,F,529.0987556,2020-01-24,7,FÃ­sica,39000,34,En proceso,False,0.0,5.290987556,False,5,Friday
226,F,439.2226908,2020-01-24,22,Virtual,39000,34,Aceptada,False,0.0,8.784453816,False,3,Friday
227,F,626.4215441,2020-01-25,11,FÃ­sica,39000,34,Aceptada,False,0.0,6.264215441,False,3,Saturday
228,F,984.4620952,2020-01-24,9,FÃ­sica,39000,34,En proceso,False,0.0,9.844620952,False,1,Friday
229,F,636.7691094,2020-06-01,8,Virtual,39000,34,Aceptada,False,0.0,12.73538219,False,2,Monday
230,F,429.7317833,2020-01-25,11,FÃ­sica,39000,34,Aceptada,False,85.94635665,3.437854266,False,4,Saturday
231,F,362.6162025,2020-02-01,4,Virtual,39000,34,Aceptada,False,36.26162025,6.527091644,False,4,Saturday
232,F,328.3821737,2020-01-13,14,FÃ­sica,39000,34,Aceptada,False,0.0,3.283821737,False,5,Monday
233,F,14.90411947,2020-04-01,4,Virtual,39000,34,Aceptada,False,0.0,0.298082389,False,2,Wednesday
234,F,380.5562707,2020-01-16,21,Virtual,30000,58,Aceptada,False,38.05562707,6.850012873,False,3,Thursday
235,F,761.5448238,2020-08-01,10,FÃ­sica,30000,58,En proceso,False,76.15448238,6.853903414,False,3,Saturday
